name,source,source_url,lat,lon,address,phone,email,amenity,confidence
Alex ECD,coj_kiddies_games_2022_fallback,https://joburg.org.za/media_/Newsroom/Pages/2022%20News%20Articles/April/The-City-hosts-annual-Kiddies-Games-in-the-heart-of-Alex.aspx,,,,,,ecd,low
Bophelong,coj_kiddies_games_2022_fallback,https://joburg.org.za/media_/Newsroom/Pages/2022%20News%20Articles/April/The-City-hosts-annual-Kiddies-Games-in-the-heart-of-Alex.aspx,,,,,,ecd,low
Isolihle,coj_kiddies_games_2022_fallback,https://joburg.org.za/media_/Newsroom/Pages/2022%20News%20Articles/April/The-City-hosts-annual-Kiddies-Games-in-the-heart-of-Alex.aspx,,,,,,ecd,low
Little Flowers,coj_kiddies_games_2022_fallback,https://joburg.org.za/media_/Newsroom/Pages/2022%20News%20Articles/April/The-City-hosts-annual-Kiddies-Games-in-the-heart-of-Alex.aspx,,,,,,ecd,low
Lukhanyiso,coj_kiddies_games_2022_fallback,https://joburg.org.za/media_/Newsroom/Pages/2022%20News%20Articles/April/The-City-hosts-annual-Kiddies-Games-in-the-heart-of-Alex.aspx,,,,,,ecd,low
Manor Pre-primary school,openstreetmap_overpass,https://www.openstreetmap.org/node/558891784,-26.064691,28.075081,,,,kindergarten,high
Mojadife,coj_kiddies_games_2022_fallback,https://joburg.org.za/media_/Newsroom/Pages/2022%20News%20Articles/April/The-City-hosts-annual-Kiddies-Games-in-the-heart-of-Alex.aspx,,,,,,ecd,low
Siyabangena,coj_kiddies_games_2022_fallback,https://joburg.org.za/media_/Newsroom/Pages/2022%20News%20Articles/April/The-City-hosts-annual-Kiddies-Games-in-the-heart-of-Alex.aspx,,,,,,ecd,low
Sweeto,coj_kiddies_games_2022_fallback,https://joburg.org.za/media_/Newsroom/Pages/2022%20News%20Articles/April/The-City-hosts-annual-Kiddies-Games-in-the-heart-of-Alex.aspx,,,,,,ecd,low
Zakhele,coj_kiddies_games_2022_fallback,https://joburg.org.za/media_/Newsroom/Pages/2022%20News%20Articles/April/The-City-hosts-annual-Kiddies-Games-in-the-heart-of-Alex.aspx,,,,,,ecd,low
